BBL,ADDRESS,XCOORD,YCOORD
1004410032,219 AVENUE A,-73.98088,40.730197
1003960003,219 AVENUE B,-73.978145,40.728869
1003860061,219 EAST 3 STREET,-73.982099,40.722548
1004000048,219 EAST 4 STREET,-73.983231,40.723822
1003900042,219 EAST 7 STREET,-73.979339,40.724525
1004290007,22 1 AVENUE,-73.987857,40.723539
1003720005,22 AVENUE C,-73.980665,40.721218
1004410002,220 1 AVENUE,-73.982698,40.730715
1004070006,220 AVENUE A,-73.980282,40.730023
1004070035,220 AVENUE B,-73.97862,40.729061
1003990020,220 EAST 4 STREET,-73.983533,40.723467
1003890028,220 EAST 7 STREET,-73.979575,40.72415
1004410031,221 AVENUE A,-73.980833,40.730262
1003960004,221 AVENUE B,-73.978106,40.728922
1003840015,221 EAST 2 STREET,-73.982837,40.721531
1003860060,221 EAST 3 STREET,-73.982025,40.722515
1004410003,222 1 AVENUE,-73.982652,40.730778
1004070008,222 AVENUE A,-73.980212,40.73012
1004070034,222 AVENUE B,-73.978577,40.72912
1003850058,222 EAST 2 STREET,-73.982512,40.721884
1003890029,222 EAST 7 STREET,-73.979495,40.724116
1004410029,223 AVENUE A,-73.980754,40.730349
1003960005,223 AVENUE B,-73.978068,40.728973
1003960029,223 AVENUE C,-73.976129,40.728298
1003840016,223 EAST 2 STREET,-73.982757,40.7215
1003860058,223 EAST 3 STREET,-73.981917,40.72247
1004000047,223 EAST 4 STREET,-73.983152,40.723789
1004070032,224 AVENUE B,-73.97852,40.729199
1003890030,224 EAST 7 STREET,-73.979415,40.724083
1003960006,225 AVENUE B,-73.978029,40.729025
1003840017,225 EAST 2 STREET,-73.982678,40.721469
1004000045,225 EAST 4 STREET,-73.983057,40.723749
1003850018,226 EAST 3 STREET,-73.982218,40.7221
1003960007,227 AVENUE B,-73.978011,40.729165
1003840018,227 EAST 2 STREET,-73.982599,40.721438
1003900039,227 EAST 7 STREET,-73.979076,40.724414
1004070031,228 AVENUE B,-73.978456,40.729287
1003850056,228 EAST 2 STREET,-73.982358,40.721819
1003850020,228 EAST 3 STREET,-73.982045,40.722027
1003850019,228 EAST 3 STREET,-73.982141,40.722068
1003860056,229 EAST 3 STREET,-73.981778,40.722411
1004000044,229 EAST 4 STREET,-73.982978,40.723715
1004290034,23 AVENUE A,-73.986079,40.722962
1009880001,230 AVENUE C,-73.973653,40.72806
1003850055,230 EAST 2 STREET,-73.982243,40.721771
1003990024,230 EAST 4 STREET,-73.983299,40.723367
1003860055,231 EAST 3 STREET,-73.981678,40.722367
1004000042,231 EAST 4 STREET,-73.982868,40.723669
1004070029,232 AVENUE B,-73.978393,40.729373
1003850054,232 EAST 2 STREET,-73.982169,40.721739
1003860053,233 EAST 3 STREET,-73.981578,40.722328
1003850053,234 EAST 2 STREET,-73.982095,40.721707
1003850022,234 EAST 3 STREET,-73.981927,40.721978
1003990026,234 EAST 4 STREET,-73.983147,40.723303
1003760009,234 EAST 7 STREET,-73.978567,40.723722
1003770070,235 EAST 7 STREET,-73.978446,40.724072
1003850052,236 EAST 2 STREET,-73.982017,40.721676
1003850023,236 EAST 3 STREET,-73.981828,40.721936
1003760010,236 EAST 7 STREET,-73.978494,40.723691
1003840023,237 EAST 2 STREET,-73.982201,40.721284
1003860052,237 EAST 3 STREET,-73.98147,40.722282
1003770069,237 EAST 7 STREET,-73.978342,40.724093
1003850051,238 EAST 2 STREET,-73.98194,40.721642
1003850024,238 EAST 3 STREET,-73.981709,40.721886
1003760011,238 EAST 7 STREET,-73.978387,40.723646
1003840024,239 EAST 2 STREET,-73.982117,40.721253
1003770068,239 EAST 7 STREET,-73.978296,40.724068
1004290008,24 1 AVENUE,-73.987817,40.723594
1003980066,24 AVENUE A,-73.98544,40.723043
1003980035,24 AVENUE B,-73.983643,40.722348
1003720006,24 AVENUE C,-73.980603,40.721265
1009720001,240 1 AVENUE,-73.977895,40.731724
1003850050,240 EAST 2 STREET,-73.98186,40.721609
1003840025,241 EAST 2 STREET,-73.982033,40.721223
1003770067,241 EAST 7 STREET,-73.978222,40.724053
1003850049,242 EAST 2 STREET,-73.981782,40.721576
1003850026,242 EAST 3 STREET,-73.98159,40.721836
1003760013,242 EAST 7 STREET,-73.978279,40.723601
1003840026,243 EAST 2 STREET,-73.981951,40.721193
1009120024,243 EAST 3 STREET,-73.97776,40.743334
1003770066,243 EAST 7 STREET,-73.978142,40.72402
1003850048,244 EAST 2 STREET,-73.981709,40.721545
1003850027,244 EAST 3 STREET,-73.981475,40.721787
1003840027,245 EAST 2 STREET,-73.98187,40.721164
1003770065,245 EAST 7 STREET,-73.978065,40.723987
1003850047,246 EAST 2 STREET,-73.981633,40.721513
1003760014,246 EAST 7 STREET,-73.978173,40.723556
1003770064,247 EAST 7 STREET,-73.977989,40.723955
1004370108,248 EAST 10 STREET,-73.984115,40.728512
1003850046,248 EAST 2 STREET,-73.98155,40.721478
1003850029,248 EAST 3 STREET,-73.981355,40.721725
1003760016,248 EAST 7 STREET,-73.978059,40.723508
1004380053,249 EAST 10 STREET,-73.983818,40.728755
1003840029,249 EAST 2 STREET,-73.981707,40.721105
1003770062,249 EAST 7 STREET,-73.977873,40.723906
1004290033,25 AVENUE A,-73.986047,40.723006
1003850004,25 AVENUE B,-73.983006,40.722236
1003850037,25 AVENUE C,-73.981075,40.721489
1003730038,25 AVENUE D,-73.978346,40.720997
1003850030,250 EAST 3 STREET,-73.981229,40.721692
1003860011,250 EAST 4 STREET,-73.982162,40.722884
1003760018,250 EAST 7 STREET,-73.97797,40.72347
1004380052,251 EAST 10 STREET,-73.98374,40.728723
1004380051,253 EAST 10 STREET,-73.983663,40.72869
1003770061,253 EAST 7 STREET,-73.977757,40.723858
1004370009,254 EAST 10 STREET,-73.984067,40.728379
1003760019,254 EAST 7 STREET,-73.977868,40.723427
1004380050,255 EAST 10 STREET,-73.983583,40.728656
1003770060,255 EAST 7 STREET,-73.977678,40.723825
1004370010,256 EAST 10 STREET,-73.983948,40.728332
1003860014,256 EAST 4 STREET,-73.981999,40.722816
1004380049,257 EAST 10 STREET,-73.983504,40.728622
1003770059,257 EAST 7 STREET,-73.977599,40.723791
1003860015,258 EAST 4 STREET,-73.981767,40.722718
1003760021,258 EAST 7 STREET,-73.977777,40.723389
1004380048,259 EAST 10 STREET,-73.983425,40.728589
1004290009,26 1 AVENUE,-73.987797,40.723696
1003980001,26 AVENUE A,-73.985327,40.723073
1003980034,26 AVENUE B,-73.983424,40.722428
1004370012,260 EAST 10 STREET,-73.983834,40.728284
1003760022,260 EAST 7 STREET,-73.977707,40.723359
1004380047,261 EAST 10 STREET,-73.983345,40.728555
